City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Gigmoto,PH,82.44,overcast clouds,13.7796,124.39,Cj's Travellers Inn
11,Bethel,US,79.2,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
13,Pataskala,US,79.02,clear sky,39.9956,-82.6743,SD
15,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Mamallapuram,IN,86.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
21,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Gushikawa,JP,80.6,broken clouds,26.3544,127.8686,Kirari Guest House
31,Dong Hoi,VN,78.82,overcast clouds,17.4833,106.6,Nam Long Hotel
32,Atuona,PF,79.07,few clouds,-9.8,-139.0333,Villa Enata
37,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
48,Abnub,EG,86.2,clear sky,27.2696,31.1511,Romany Adly Gad
50,Cayenne,GF,76.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
51,Tautira,PF,86.02,clear sky,-17.7333,-149.15,Pension Oaoa
55,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
57,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
61,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
63,Hamilton,US,83.71,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
64,Waddan,LY,84.9,clear sky,29.1614,16.139,محل الشريف محمد العايب
66,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Piacabucu,BR,76.08,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
73,Diamantino,BR,79.83,scattered clouds,-14.4086,-56.4461,Hotel Delta
