,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,37.45,70,55,1.39,broken clouds
1,Cape Town,ZA,-33.9258,18.4232,61.21,77,75,4.0,light rain
2,Missoula,US,47.0166,-113.8009,66.6,30,88,7.67,overcast clouds
3,Airai,TL,-8.9266,125.4092,55.11,89,66,3.91,broken clouds
4,Imbituba,BR,-28.24,-48.6703,60.28,66,0,1.72,clear sky
5,Gigmoto,PH,13.7796,124.39,82.44,85,100,7.76,overcast clouds
6,Saint George,US,37.1041,-113.5841,95.63,9,1,3.0,clear sky
7,Pyshchug,RU,58.8873,45.7134,48.63,98,60,3.78,broken clouds
8,Quelimane,MZ,-17.8786,36.8883,64.99,84,0,1.9,clear sky
9,Pangody,RU,65.85,74.4859,31.05,72,19,8.3,few clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,72.79,85,2,8.14,clear sky
11,Bethel,US,41.3712,-73.414,79.2,49,20,18.41,few clouds
12,Mataura,NZ,-46.1927,168.8643,49.48,98,100,0.85,light rain
13,Pataskala,US,39.9956,-82.6743,79.02,57,1,1.01,clear sky
14,Suchiate,MX,14.55,-92.2167,90.09,68,91,8.21,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,81.9,78,100,17.83,overcast clouds
16,Yichang,CN,30.7144,111.2847,68.31,81,100,5.37,overcast clouds
17,Mao,ES,39.8885,4.2658,61.36,88,0,1.14,clear sky
18,Hilo,US,19.7297,-155.09,87.28,76,58,5.01,broken clouds
19,Kabare,CD,-2.4683,28.8242,60.26,96,75,0.81,broken clouds
20,Mamallapuram,IN,12.6264,80.1722,86.05,57,80,10.63,broken clouds
21,Kapaa,US,22.0752,-159.319,82.38,72,97,1.99,overcast clouds
22,Gushikawa,JP,26.3544,127.8686,80.6,90,75,12.97,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,71.71,57,66,4.85,broken clouds
24,Albany,US,42.6001,-73.9662,70.27,46,43,1.01,scattered clouds
