City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Xuddur,SO,2021-05-24 03:50:15,4.1213,43.8894,70.45,77,12,14.34
1,Thompson,CA,2021-05-24 03:50:03,55.7435,-97.8558,50.16,66,40,6.91
2,Port Shepstone,ZA,2021-05-24 03:53:47,-30.7414,30.455,59.05,63,10,8.41
3,Nikolskoye,RU,2021-05-24 03:50:52,59.7035,30.7861,50.4,95,100,11.5
4,Lubango,AO,2021-05-24 03:53:48,-14.9172,13.4925,54.55,51,51,4.5
5,Husavik,IS,2021-05-24 03:51:32,66.0449,-17.3389,40.91,87,100,6.82
6,Mataura,NZ,2021-05-24 03:50:18,-46.1927,168.8643,49.48,68,68,2.64
7,Bosilovo,MK,2021-05-24 03:53:48,41.4406,22.7278,63.82,66,75,4.7
8,Torbay,CA,2021-05-24 03:50:34,47.6666,-52.7314,37.76,97,90,18.41
9,Rikitea,PF,2021-05-24 03:50:19,-23.1203,-134.9692,74.77,75,46,5.06
10,Albany,US,2021-05-24 03:50:20,42.6001,-73.9662,57.54,59,96,4.63
11,Tura,IN,2021-05-24 03:50:35,25.5198,90.2201,93.0,49,20,1.74
12,Mount Isa,AU,2021-05-24 03:53:49,-20.7333,139.5,82.17,36,0,11.5
13,Chokurdakh,RU,2021-05-24 03:51:48,70.6333,147.9167,31.01,93,26,3.31
14,Igarka,RU,2021-05-24 03:53:50,67.4667,86.5833,40.59,81,100,5.68
15,Yellowknife,CA,2021-05-24 03:50:17,62.456,-114.3525,50.52,62,20,1.99
16,Vaini,TO,2021-05-24 03:50:13,-21.2,-175.2,71.76,94,90,8.05
17,Torrington,US,2021-05-24 03:53:50,41.8007,-73.1212,64.49,76,38,5.01
18,Fraga,ES,2021-05-24 03:53:51,41.5229,0.3489,57.31,59,100,5.08
19,Punta Arenas,CL,2021-05-24 03:49:27,-53.15,-70.9167,39.31,76,75,5.68
20,Georgetown,MY,2021-05-24 03:51:11,5.4112,100.3354,89.89,71,20,1.01
21,Jamestown,US,2021-05-24 03:50:21,42.097,-79.2353,65.52,88,90,6.91
22,Saint George,US,2021-05-24 03:50:12,37.1041,-113.5841,70.39,19,1,6.91
23,Khatanga,RU,2021-05-24 03:51:19,71.9667,102.5,39.18,96,100,5.61
24,Zemio,CF,2021-05-24 03:53:52,5.0314,25.1361,68.65,98,100,2.75
25,Port Elizabeth,ZA,2021-05-24 03:50:40,-33.918,25.5701,68.09,66,0,3.44
26,Uarini,BR,2021-05-24 03:53:52,-2.99,-65.1083,78.06,84,99,1.72
27,Longyearbyen,SJ,2021-05-24 03:50:44,78.2186,15.6401,21.13,85,21,2.08
28,Hilo,US,2021-05-24 03:47:19,19.7297,-155.09,78.53,82,75,9.22
29,Busselton,AU,2021-05-24 03:50:49,-33.65,115.3333,53.1,57,88,15.99
30,Alice Town,BS,2021-05-24 03:53:53,25.7167,-79.3,75.02,66,9,15.48
31,Dongfeng,CN,2021-05-24 03:53:53,42.6403,125.5118,60.01,28,36,16.91
